County,Year,Admissions,Discharges,Children_In_Care,Number_of_Children_Served
BROOME,1995,222,232,457,657
CATTARAUGUS,1995,91,68,163,230
CAYUGA,1995,57,53,108,158
CHAUTAUQUA,1995,91,103,155,250
CHEMUNG,1995,143,180,257,417
CHENANGO,1995,37,26,49,75
CLINTON,1995,27,55,91,146
COLUMBIA,1995,44,47,67,114
CORTLAND,1995,60,77,79,136
DELAWARE,1995,23,36,37,72
DUTCHESS,1995,153,167,251,417
ERIE,1995,908,921,2384,3314
ESSEX,1995,17,13,26,37
FRANKLIN,1995,45,56,55,111
FULTON,1995,65,68,66,131
GENESEE,1995,43,47,58,100
GREENE,1995,39,45,56,103
HAMILTON,1995,2,0,3,3
HERKIMER,1995,66,60,81,143
JEFFERSON,1995,87,111,163,283
LEWIS,1995,33,43,31,68
LIVINGSTON,1995,40,47,50,103
MADISON,1995,50,80,74,159
MONROE,1995,607,672,1117,1773
MONTGOMERY,1995,47,75,69,138
NASSAU,1995,165,238,592,829
NEW YORK CITY,1995,9046,13803,40454,54379
NIAGARA,1995,139,218,329,518
ONEIDA,1995,206,284,495,769
ONONDAGA,1995,447,470,873,1341
ONTARIO,1995,46,66,72,137
ORANGE,1995,204,277,384,685
ORLEANS,1995,50,45,51,97
OSWEGO,1995,140,185,177,367
OTSEGO,1995,46,59,84,160
PUTNAM,1995,14,15,28,36
RENSSELAER,1995,159,185,234,409
ROCKLAND,1995,127,201,237,417
SARATOGA,1995,89,90,119,208
SCHENECTADY,1995,224,255,424,648
SCHOHARIE,1995,20,24,23,48
SCHUYLER,1995,7,15,15,30
SENECA,1995,33,23,49,68
ST. LAWRENCE,1995,52,74,112,181
ST. REGIS MOHAWK,1995,0,0,1,1
STEUBEN,1995,56,77,89,160
SUFFOLK,1995,427,429,863,1272
SULLIVAN,1995,101,113,124,236
TIOGA,1995,37,32,45,76
TOMPKINS,1995,60,73,137,208
ULSTER,1995,111,170,202,370
WARREN,1995,35,41,60,99
WASHINGTON,1995,55,58,61,118
WAYNE,1995,35,44,45,95
WESTCHESTER,1995,332,411,839,1227
WYOMING,1995,41,29,53,82
YATES,1995,17,18,35,54
ALBANY,1994,307,309,548,837
ALLEGANY,1994,26,34,71,106
BROOME,1994,200,247,448,671
CATTARAUGUS,1994,90,118,137,243
CAYUGA,1994,64,41,99,139
CHAUTAUQUA,1994,96,105,156,268
CHEMUNG,1994,148,139,263,451
CHENANGO,1994,49,44,38,83
CLINTON,1994,35,34,120,154
COLUMBIA,1994,44,39,71,105
CORTLAND,1994,57,64,79,149
DELAWARE,1994,26,29,47,77
DUTCHESS,1994,155,203,263,437
ERIE,1994,916,765,2405,3166
ESSEX,1994,21,29,19,48
FRANKLIN,1994,53,47,64,111
FULTON,1994,35,47,73,113
GENESEE,1994,43,23,61,87
GREENE,1994,34,33,62,94
HAMILTON,1994,1,0,1,1
HERKIMER,1994,65,63,82,140
JEFFERSON,1994,116,142,192,322
LEWIS,1994,39,26,41,65
LIVINGSTON,1994,46,35,63,92
MADISON,1994,61,49,114,158
MONROE,1994,685,712,1163,1854
MONTGOMERY,1994,48,52,91,149
NASSAU,1994,194,323,658,969
NEW YORK CITY,1994,10437,12779,44859,58143
NIAGARA,1994,152,180,375,568
ONEIDA,1994,244,212,572,771
ONONDAGA,1994,429,461,885,1342
ONTARIO,1994,42,44,87,134
ORANGE,1994,229,251,475,713
ORLEANS,1994,43,32,50,78
OSWEGO,1994,122,123,226,340
OTSEGO,1994,51,35,117,157
PUTNAM,1994,13,8,27,36
RENSSELAER,1994,171,163,254,409
ROCKLAND,1994,147,197,292,471
SARATOGA,1994,77,86,117,204
SCHENECTADY,1994,198,227,443,649
SCHOHARIE,1994,21,33,28,57
SCHUYLER,1994,12,9,23,32
SENECA,1994,15,25,38,59
ST. LAWRENCE,1994,71,72,130,193
ST. REGIS MOHAWK,1994,0,0,0,3
STEUBEN,1994,66,51,107,157
SUFFOLK,1994,440,430,840,1247
SULLIVAN,1994,95,124,135,258
TIOGA,1994,41,48,41,85
TOMPKINS,1994,81,79,148,230
ULSTER,1994,108,180,257,425
WARREN,1994,54,44,66,103
WASHINGTON,1994,45,53,63,111
WAYNE,1994,29,37,55,92
WESTCHESTER,1994,347,434,893,1331
WYOMING,1994,37,35,42,76
YATES,1994,13,6,37,44
